"Freq [GHz]"	"dB(S(port_pa,port_pa)) []"
1.5	-3.09968358923913
1.501	-3.16041622557842
1.502	-3.22290659068225
1.503	-3.28722389783233
1.504	-3.35344051522515
1.505	-3.4216321326847
1.506	-3.49187793840662
1.507	-3.56426080642678
1.508	-3.63886749556418
1.509	-3.71578886065174
1.51	-3.79512007693776
1.511	-3.87696087861936
1.512	-3.96141581255523
1.513	-4.04859450830189
1.514	-4.13861196572624
1.515	-4.23158886156899
1.516	-4.32765187647117
1.517	-4.42693404413173
1.518	-4.52957512444103
1.519	-4.63572200263741
1.52	-4.74552911676391
1.521	-4.85915891596837
1.522	-4.97678235249491
1.523	-5.09857941056871
1.524	-5.22473967578561
1.525	-5.35546294909606
1.526	-5.4909599100315
1.527	-5.6314528344755
1.528	-5.7771763730531
1.529	-5.92837839712193
1.53	-6.08532092042688
1.531	-6.24828110576178
1.532	-6.41755236751096
1.533	-6.59344558277322
1.534	-6.77629042596793
1.535	-6.96643684447028
1.536	-7.16425669602338
1.537	-7.37014557255869
1.538	-7.58452483978437
1.539	-7.80784392768237
1.54	-8.04058291414907
1.541	-8.28325545275503
1.542	-8.53641210641994
1.543	-8.80064416225058
1.544	-9.07658801960028
1.545	-9.36493026451964
1.546	-9.66641357043499
1.547	-9.98184359877005
1.548	-10.3120971165395
1.549	-10.6581316036985
1.55	-11.020996695312
1.551	-11.4018478980328
1.552	-11.8019631447336
1.553	-12.2227629163381
1.554	-12.665834881338
1.555	-13.1329643031966
1.556	-13.6261718755457
1.557	-14.1477612110015
1.558	-14.7003789994839
1.559	-15.2870919666185
1.56	-15.9114863517742
1.561	-16.5777979109317
1.562	-17.2910837592826
1.563	-18.0574521686446
1.564	-18.8843733357513
1.565	-19.7811037481068
1.566	-20.7592689856338
1.567	-21.8336610439798
1.568	-23.0232996665925
1.569	-24.352716894603
1.57	-25.8530023897149
1.571	-27.56044886281
1.572	-29.5040026216827
1.573	-31.6481282112298
1.574	-33.694500599331
1.575	-34.7692505781881
1.576	-34.1196266322017
1.577	-32.4185104129514
1.578	-30.5763884101694
1.579	-28.9230204311782
1.58	-27.5026167268065
1.581	-26.287015784925
1.582	-25.2387785749224
1.583	-24.325327139946
1.584	-23.5206752081829
1.585	-22.8044548131534
1.586	-22.1606342865316
1.587	-21.5764494152845
1.588	-21.0416023298342
1.589	-20.5476805017086
1.59	-20.087738658088
1.591	-19.6559970764776
1.592	-19.2476219526114
1.593	-18.8585633123183
1.594	-18.4854330535886
1.595	-18.1254107568512
1.596	-17.7761685017117
1.597	-17.4358085365125
1.598	-17.1028095716212
1.599	-16.7759789039753
1.6	-16.4544086499676
