"Freq [MHz]"	"dB(S(port_di,port_di)) []"
100	-0.334028118139727
101	-0.334761214707939
102	-0.335703094964507
103	-0.336871577619645
104	-0.338286322360506
105	-0.339969071500665
106	-0.341943929301411
107	-0.344237685895317
108	-0.346880194222868
109	-0.3499048102359
110	-0.353348908928212
111	-0.357254491656422
112	-0.361668903887638
113	-0.366645687187812
114	-0.37224559525772
115	-0.378537811552845
116	-0.385601416062748
117	-0.393527161959914
118	-0.402419640145873
119	-0.412399932741726
120	-0.423608887432625
121	-0.436211186329892
122	-0.450400440048197
123	-0.466405616393413
124	-0.4844992228204
125	-0.505007816662243
126	-0.528325638215984
127	-0.554932481495793
128	-0.585417386167326
129	-0.620510431252961
130	-0.661125963923725
131	-0.708422212596901
132	-0.763884757107666
133	-0.829445342491074
134	-0.907654031562073
135	-1.00193346298599
136	-1.11696219247658
137	-1.25926557489529
138	-1.43814832543188
139	-1.66720373085359
140	-1.96682160736707
141	-2.36847392104925
142	-2.92226235207283
143	-3.71069765967945
144	-4.87525448497775
145	-6.67334846186621
146	-9.63328734061119
147	-15.2385603244856
148	-42.5183769109532
149	-16.6277911307336
150	-11.2287238466291
151	-8.70530853112846
152	-7.40665041582226
153	-6.80353404932135
154	-6.66455917324628
155	-6.87777024734521
156	-7.38371138151994
157	-8.13302002615998
158	-9.03694054906231
159	-9.89719490306465
160	-10.3724013876409
161	-10.1637163352712
162	-9.33266417205388
163	-8.21354264655273
164	-7.08502075258203
165	-6.07488457613305
166	-5.21615185520784
167	-4.50171558187166
168	-3.91170670839162
169	-3.42458816931141
170	-3.02102986961494
171	-2.68488702267797
172	-2.40310243103002
173	-2.16526852007072
174	-1.96313543202927
175	-1.79016710317672
176	-1.64117282675814
177	-1.51201327457571
178	-1.39937049853655
179	-1.30056967617015
180	-1.21344145310035
181	-1.1362156421414
182	-1.06743895931854
183	-1.00591113487975
184	-0.950635074193901
185	-0.900777784503598
186	-0.855639579095419
187	-0.814629672373719
188	-0.777246732556672
189	-0.743063299495637
190	-0.711713231541845
191	-0.682881538754455
192	-0.65629610602882
193	-0.631720920814665
194	-0.608950504817911
195	-0.58780531399081
196	-0.568127921081236
197	-0.549779833659672
198	-0.532638830580261
199	-0.516596723291548
200	-0.501557466821096
